title,location,country,city,stars,rating,ratings_no,date,duration,airport,food,price,old_price
Zielone wzgórza Toskanii,Objazd Włochy: Toskania,Włochy, Toskania,,,0,07.09.2023,5,Warszawa Chopin,Śniadania,2446.0,
Dizalya Palm Garden,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.2,55,13.05.2023,8,Wrocław,Ultra All Inclusive,2448.0,
Prestige and Aqua Park Hotel,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,4.0,4.9,4,29.08.2023,4,Warszawa Chopin,All inclusive,2450.0,
Otium Sealight Beach Resort (ex. Sealight Resort Kusadasi),Wypoczynek Turcja: Riwiera Egejska,Turcja, Riwiera Egejska,5.0,5.3,177,07.05.2023,8,Warszawa Chopin,Ultra All Inclusive,2450.0,
Zeus Hotel,Wypoczynek Grecja: Kos,Grecja, Kos,2.0,,0,03.10.2023,8,Warszawa Chopin,Śniadania,2451.0,
Admiral hotel,Wypoczynek Bułgaria: Złote Piaski,Bułgaria, Złote Piaski,5.0,,0,20.06.2023,4,Warszawa Chopin,Ultra All Inclusive,2451.0,
Side Star Elegance,Wypoczynek Turcja: Riwiera Turecka,Turcja, Riwiera Turecka,5.0,5.8,52,09.12.2023,8,Katowice,Ultra All Inclusive,2452.0,2952.0
Pinea Resort & Spa,Wypoczynek Albania: Durres,Albania, Durres,5.0,,0,09.06.2023,4,Katowice,All inclusive,2459.0,
Mahdia Palace,Wypoczynek Tunezja: Al Mahdijja,Tunezja, Al Mahdijja,5.0,5.3,126,29.06.2023,4,Wrocław,All inclusive,2459.0,
Katsaras Bayside Hotel,Wypoczynek Grecja: Rodos,Grecja, Rodos,4.0,,0,12.06.2023,8,Wrocław,Bez wyżywienia,2460.0,
Georgina Inn,Wypoczynek Grecja: Zakynthos,Grecja, Zakynthos,3.0,,0,03.10.2023,4,Katowice,All inclusive,2461.0,
Kaya Maris,Wypoczynek Turcja: Marmaris,Turcja, Marmaris,4.0,,0,08.05.2023,8,Katowice,All inclusive,2463.0,
